cusip,issueDate,securityType,securityTerm,maturityDate,interestRate,refCpiOnIssueDate,refCpiOnDatedDate,announcementDate,auctionDate,auctionDateYear,datedDate,accruedInterestPer1000,accruedInterestPer100,adjustedAccruedInterestPer1000,adjustedPrice,allocationPercentage,allocationPercentageDecimals,announcedCusip,auctionFormat,averageMedianDiscountRate,averageMedianInvestmentRate,averageMedianPrice,averageMedianDiscountMargin,averageMedianYield,backDated,backDatedDate,bidToCoverRatio,callDate,callable,calledDate,cashManagementBillCMB,closingTimeCompetitive,closingTimeNoncompetitive,competitiveAccepted,competitiveBidDecimals,competitiveTendered,competitiveTendersAccepted,corpusCusip,cpiBaseReferencePeriod,currentlyOutstanding,directBidderAccepted,directBidderTendered,estimatedAmountOfPubliclyHeldMaturingSecuritiesByType,fimaIncluded,fimaNoncompetitiveAccepted,fimaNoncompetitiveTendered,firstInterestPeriod,firstInterestPaymentDate,floatingRate,frnIndexDeterminationDate,frnIndexDeterminationRate,highDiscountRate,highInvestmentRate,highPrice,highDiscountMargin,highYield,indexRatioOnIssueDate,indirectBidderAccepted,indirectBidderTendered,interestPaymentFrequency,lowDiscountRate,lowInvestmentRate,lowPrice,lowDiscountMargin,lowYield,maturingDate,maximumCompetitiveAward,maximumNoncompetitiveAward,maximumSingleBid,minimumBidAmount,minimumStripAmount,minimumToIssue,multiplesToBid,multiplesToIssue,nlpExclusionAmount,nlpReportingThreshold,noncompetitiveAccepted,noncompetitiveTendersAccepted,offeringAmount,originalCusip,originalDatedDate,originalIssueDate,originalSecurityTerm,pdfFilenameAnnouncement,pdfFilenameCompetitiveResults,pdfFilenameNoncompetitiveResults,pdfFilenameSpecialAnnouncement,pricePer100,primaryDealerAccepted,primaryDealerTendered,reopening,securityTermDayMonth,securityTermWeekYear,series,somaAccepted,somaHoldings,somaIncluded,somaTendered,spread,standardInterestPaymentPer1000,strippable,term,tiinConversionFactorPer1000,tips,totalAccepted,totalTendered,treasuryRetailAccepted,treasuryRetailTendersAccepted,type,unadjustedAccruedInterestPer1000,unadjustedPrice,updatedTimestamp,xmlFilenameAnnouncement,xmlFilenameCompetitiveResults,xmlFilenameSpecialAnnouncement,tintCusip1,tintCusip2,tintCusip1DueDate,tintCusip2DueDate
912810UV8,2026-06-01T00:00:00,Bond,20-Year,2046-05-15T00:00:00,,,,2026-05-14T00:00:00,2026-05-20T00:00:00,2026,2026-05-15T00:00:00,,,,,,2,,Single-Price,,,,,,Yes,2026-05-15T00:00:00,,,No,,No,01:00 PM,12:00 PM,,3,,Yes,912803HW6,,,,,130939000000,Yes,,,Normal,2026-11-15T00:00:00,No,,,,,,,,,,,Semi-Annual,,,,,,2026-05-31T00:00:00,5600000000,10000000,5600000000,100,100,100,100,100,0,5600000000,,Yes,16000000000,,,,20-Year,A_20260514_3.pdf,,,,,,,No,0-Month,20-Year,Bonds of May 2046,,29361000000,No,,,,Yes,20-Year,,No,,,,Yes,Bond,,,2026-05-14T11:01:53,A_20260514_3.xml,,,,,,
912797UZ8,2026-05-21T00:00:00,Bill,26-Week,2026-11-19T00:00:00,,,,2026-05-14T00:00:00,2026-05-18T00:00:00,2026,,,,,,,2,,Single-Price,,,,,,,,,,,,No,11:30 AM,11:00 AM,,3,,Yes,,,,,,233754000000,Yes,,,,,No,,,,,,,,,,,None,,,,,,2026-05-21T00:00:00,26950000000,10000000,26950000000,100,,100,100,100,0,26950000000,,Yes,77000000000,,,,26-Week,A_20260514_2.pdf,,,,,,,No,182-Day,26-Week,,,15146000000,No,,,,,26-Week,,No,,,,Yes,Bill,,,2026-05-14T11:01:56,A_20260514_2.xml,,,,,,
912797VC8,2026-05-19T00:00:00,Bill,17-Week,2026-09-15T00:00:00,,,,2026-05-12T00:00:00,2026-05-13T00:00:00,2026,,,,,,69.810000,2,,Single-Price,3.600000,,,,,,,3.200000,,,,No,11:30 AM,11:00 AM,68005421700,3,220074630000,Yes,,,,4074715000,7245000000,224279000000,Yes,500000000,500000000,,,No,,,3.615000,3.710000,98.805042,,,,40758496700,68209630000,None,3.400000,,,,,2026-05-19T00:00:00,24150000000,10000000,24150000000,100,,100,100,100,0,24150000000,495007900,Yes,69000000000,,,,17-Week,A_20260512_2.pdf,R_20260513_1.pdf,NCR_20260513_1.pdf,,98.805042,23172210000,144620000000,No,119-Day,17-Week,,2894883800,11076000000,No,2894883800,,,,17-Week,,No,71895313400,223964521700,361709800,Yes,Bill,,,2026-05-13T11:33:54,A_20260512_2.xml,R_20260513_1.xml,,,,,
912810UU0,2026-05-15T00:00:00,Bond,30-Year,2056-05-15T00:00:00,5.000000,,,2026-05-06T00:00:00,2026-05-13T00:00:00,2026,2026-05-15T00:00:00,,,,,72.060000,2,,Single-Price,,,,,4.990000,No,,2.300000,,No,,No,01:00 PM,12:00 PM,24937681600,3,57504603000,Yes,912803HV8,,,5420900000,6770900000,83284000000,Yes,0,0,Normal,2026-11-15T00:00:00,No,,,,,99.292811,,5.0460,,16609721600,19839203000,Semi-Annual,,,,,3.880000,2026-05-15T00:00:00,8750000000,10000000,8750000000,100,100,100,100,100,0,8750000000,62324000,Yes,25000000000,,,,30-Year,A_20260506_3.pdf,R_20260513_2.pdf,NCR_20260513_2.pdf,,99.292811,2907060000,30894500000,No,0-Month,30-Year,Bonds of May 2056,5936159900,29681000000,No,5936159900,,25.0000,Yes,30-Year,,No,30936165500,63503086900,24474000,Yes,Bond,,,2026-05-13T13:04:05,A_20260506_3.xml,R_20260513_2.xml,,912834ZX9,,2056-05-15T00:00:00,
91282CQQ7,2026-05-15T00:00:00,Note,10-Year,2036-05-15T00:00:00,4.375000,,,2026-05-06T00:00:00,2026-05-12T00:00:00,2026,2026-05-15T00:00:00,,,,,22.000000,2,,Single-Price,,,,,4.413000,No,,2.400000,,No,,No,01:00 PM,12:00 PM,41869018000,3,100759818000,Yes,912821UK9,,,10078500000,12418500000,83284000000,Yes,0,0,Normal,2026-11-15T00:00:00,No,,,,,99.256552,,4.4680,,26775518000,32367318000,Semi-Annual,,,,,4.340000,2026-05-15T00:00:00,14700000000,10000000,14700000000,100,100,100,100,100,0,14700000000,131024400,Yes,42000000000,,,,10-Year,A_20260506_1.pdf,R_20260512_3.pdf,NCR_20260512_3.pdf,,99.256552,5015000000,55974000000,No,0-Month,10-Year,C-2036,9972748700,29681000000,No,9972748700,,21.8750,Yes,10-Year,,No,51972791100,110863591100,58319400,Yes,Note,,,2026-05-12T13:03:57,A_20260506_1.xml,R_20260512_3.xml,,,,,
912797UX3,2026-05-14T00:00:00,Bill,52-Week,2027-05-13T00:00:00,,,,2026-05-07T00:00:00,2026-05-12T00:00:00,2026,,,,,,4.560000,2,,Single-Price,3.620000,,,,,,,3.410000,,,,No,11:30 AM,11:00 AM,48699890300,3,169070558300,Yes,,,,1700000000,4505000000,288996000000,Yes,200000000,200000000,,,No,,,3.650000,3.806000,96.309444,,,,33630218300,59630558300,None,3.300000,,,,,2026-05-14T00:00:00,17500000000,10000000,17500000000,100,,100,100,100,0,17500000000,1100279700,Yes,50000000000,,,,52-Week,A_20260507_3.pdf,R_20260512_1.pdf,NCR_20260512_1.pdf,,96.309444,13369672000,104935000000,No,364-Day,52-Week,,3137435600,18574000000,No,3137435600,,,,52-Week,,No,53137605600,173508273600,468976600,Yes,Bill,,,2026-05-12T11:33:48,A_20260507_3.xml,R_20260512_1.xml,,,,,
91282CQR5,2026-05-15T00:00:00,Note,3-Year,2029-05-15T00:00:00,3.875000,,,2026-05-06T00:00:00,2026-05-11T00:00:00,2026,2026-05-15T00:00:00,,,,,37.530000,2,,Single-Price,,,,,3.917000,No,,2.540000,,No,,No,01:00 PM,12:00 PM,57599404500,3,146914420000,Yes,912821UJ2,,,11600454500,14626000000,83284000000,Yes,200000000,200000000,Normal,2026-11-15T00:00:00,No,,,,,99.747787,,3.9650,,36261950000,46832420000,Semi-Annual,,,,,3.800000,2026-05-15T00:00:00,20300000000,10000000,20300000000,100,100,100,100,100,0,20300000000,200595700,Yes,58000000000,,,,3-Year,A_20260506_2.pdf,R_20260511_3.pdf,NCR_20260511_3.pdf,,99.747787,9737000000,85456000000,No,0-Month,3-Year,AN-2029,13771891200,29681000000,No,13771891200,,19.3750,Yes,3-Year,,No,71771891400,161086906900,70022700,Yes,Note,,,2026-05-11T13:03:57,A_20260506_2.xml,R_20260511_3.xml,,,,,
912797UY1,2026-05-14T00:00:00,Bill,26-Week,2026-11-12T00:00:00,,,,2026-05-07T00:00:00,2026-05-11T00:00:00,2026,,,,,,72.540000,2,,Single-Price,3.590000,,,,,,,2.910000,,,,No,11:30 AM,11:00 AM,74925391000,3,222096977000,Yes,,,,6576270000,9740000000,288996000000,Yes,675000000,675000000,,,No,,,3.615000,3.733000,98.172417,,,,41927442000,57571977000,None,3.300000,,,,,2026-05-14T00:00:00,26950000000,10000000,26950000000,100,,100,100,100,0,26950000000,1399780000,Yes,77000000000,,,,26-Week,A_20260507_4.pdf,R_20260511_2.pdf,NCR_20260511_1.pdf,,98.172417,26421679000,154785000000,No,182-Day,26-Week,,4831650800,18574000000,No,4831650800,,,,26-Week,,No,81831821800,229003407800,722883700,Yes,Bill,,,2026-05-11T11:34:47,A_20260507_4.xml,R_20260511_2.xml,,,,,
912797VB0,2026-05-12T00:00:00,Bill,17-Week,2026-09-08T00:00:00,,,,2026-05-05T00:00:00,2026-05-06T00:00:00,2026,,,,,,70.080000,2,,Single-Price,3.585000,,,,,,,3.130000,,,,No,11:30 AM,11:00 AM,68453912000,3,215712712000,Yes,,,,3768560000,6416000000,238473000000,Yes,0,0,,,No,,,3.605000,3.699000,98.808347,,,,34419024000,62826712000,None,3.400000,,,,,2026-05-12T00:00:00,24150000000,10000000,24150000000,100,,100,100,100,0,24150000000,547493600,Yes,69000000000,,,,17-Week,A_20260505_2.pdf,R_20260506_1.pdf,NCR_20260506_1.pdf,,98.808347,30266328000,146470000000,No,119-Day,17-Week,,644154500,2278000000,No,644154500,,,,17-Week,,No,69645560100,216904360100,380366600,Yes,Bill,,,2026-05-06T11:34:03,A_20260505_2.xml,R_20260506_1.xml,,,,,
912797UM7,2026-05-07T00:00:00,Bill,26-Week,2026-11-05T00:00:00,,,,2026-04-30T00:00:00,2026-05-04T00:00:00,2026,,,,,,2.030000,2,,Single-Price,3.570000,,,,,,,2.790000,,,,No,11:30 AM,11:00 AM,75314905300,3,212887748000,Yes,,,,7736015000,10635000000,242357000000,Yes,100000000,100000000,,,No,,,3.610000,3.728000,98.174944,,,,40584530300,53337748000,None,3.500000,,,,,2026-05-07T00:00:00,26950000000,10000000,26950000000,100,,100,100,100,0,26950000000,1585693000,Yes,77000000000,,,,26-Week,A_20260430_1.pdf,R_20260504_2.pdf,NCR_20260504_2.pdf,,98.174944,26994360000,148915000000,No,182-Day,26-Week,,4881350500,15278000000,No,4881350500,,,,26-Week,,No,81881948800,219454791500,771614200,Yes,Bill,,,2026-05-04T11:33:59,A_20260430_1.xml,R_20260504_2.xml,,,,,
