,date,is_fiscal,is_tariff,is_trade,number_of_article,fiscal_index,tariff_index,trade_index
0,2020-01-31,109,31,29,633,93.37220570581046,67.70774512459148,194.69710721368497
1,2020-02-29,79,39,11,609,70.34036683283564,88.53758694267651,76.76099640614282
2,2020-03-31,85,21,11,503,91.63170569247143,57.720711597588306,92.93727000266597
3,2020-04-30,69,11,4,432,86.60843163040866,35.20378056321165,39.34970270314897
4,2020-05-31,66,10,5,444,80.60385176414061,31.13847912225109,47.85774653085686
5,2020-06-30,86,25,10,618,75.45791594983686,55.92833628753837,68.76647074336714
6,2020-07-31,95,27,8,636,80.99558003171934,58.693095553073285,53.456199898617484
7,2020-08-31,94,19,14,604,84.38898146769446,43.49076322438911,98.50455378669082
8,2020-09-30,98,21,8,584,90.99301572128701,49.71492796847075,58.21599851972724
9,2020-10-31,100,19,14,653,83.03891174365036,40.22729094568304,91.11294102168645
10,2020-11-30,109,21,16,545,108.44881873720739,53.27250996988426,124.76382802025951
11,2020-12-31,70,18,5,552,68.7628379674322,45.083102381346144,38.494274383515304
12,2021-01-31,0,0,0,0,,,
13,2021-02-28,0,0,0,0,,,
14,2021-03-31,0,0,0,0,,,
15,2021-04-30,0,0,0,0,,,
16,2021-05-31,0,0,0,0,,,
17,2021-06-30,0,0,0,0,,,
18,2021-07-31,0,0,0,0,,,
19,2021-08-31,0,0,0,0,,,
20,2021-09-30,0,0,0,0,,,
21,2021-10-31,0,0,0,0,,,
22,2021-11-30,0,0,0,0,,,
23,2021-12-31,0,0,0,0,,,
24,2022-01-31,0,0,0,0,,,
25,2022-02-28,0,0,0,0,,,
26,2022-03-31,0,0,0,0,,,
27,2022-04-30,0,0,0,0,,,
28,2022-05-31,0,0,0,0,,,
29,2022-06-30,0,0,0,0,,,
30,2022-07-31,0,0,0,0,,,
31,2022-08-31,55,4,4,319,93.49036098035118,17.33603100975484,53.288625604264446
32,2022-09-30,84,14,4,512,88.96192162036542,37.80405980935797,33.20131165578195
33,2022-10-31,116,21,7,520,120.96214397611591,55.833688333821,57.208413929962745
34,2022-11-30,84,22,4,538,84.66264659781989,56.53543941749975,31.59678730066981
35,2022-12-31,102,30,10,551,100.37912442100864,75.27487148972496,77.12827390090906
36,2023-01-31,94,24,9,520,98.02104770478358,63.809929524366865,73.55367505280924
37,2023-02-28,82,11,5,491,90.5580767459369,30.973591045432656,43.27665877739399
38,2023-03-31,122,26,14,606,109.16465252425164,59.31726121902089,98.17945624944102
39,2023-04-30,88,21,7,540,88.36570415624305,53.76577395108689,55.08958378440857
40,2023-05-31,114,30,7,533,115.97716075085968,77.81698722483763,55.81308676093927
41,2023-06-30,99,16,4,486,110.4571301953038,45.51599911203124,34.9775135139102
42,2023-07-31,86,20,9,471,99.00847570488146,58.70694152984919,81.20575589694438
43,2023-08-31,43,7,6,236,98.79871198516773,41.007793691506954,108.04494640525652
44,2023-09-30,29,16,2,168,93.60165902913731,131.6712831455189,50.59247490404868
45,2023-10-31,76,23,5,446,92.40033883439192,71.29734277946821,47.643137802018934
46,2023-11-30,77,28,6,411,101.58830952268816,94.18821714059017,62.040407181607144
47,2023-12-31,63,38,7,410,83.32043390785444,128.13863896356597,72.55701278922105
48,2024-01-31,83,36,7,454,99.13273078401114,109.62939433701797,65.52505560260049
49,2024-02-29,61,28,2,385,85.9139992593461,100.54897985657807,22.0767163217667
50,2024-03-31,79,33,5,425,100.79360800281626,107.3508226115819,49.99726931694223
51,2024-04-30,69,37,3,407,91.92835986323475,125.6862248207226,31.325070456560855
52,2024-05-31,68,26,7,391,94.3033206410499,91.93416956196079,76.08280113447731
53,2024-06-30,73,22,5,348,113.74660585942726,87.40248967418067,61.05988350488634
54,2024-07-31,60,27,7,369,88.1697713310629,101.16208339228892,80.61890309913449
55,2024-08-31,81,31,3,393,111.76023304979385,109.05598642205192,32.440976274351826
56,2024-09-30,83,28,12,419,107.41350781847508,92.38987409255981,121.7117296021028
57,2024-10-31,92,41,5,442,112.86528646858686,128.24544659309026,48.07429742013675
58,2024-11-30,78,64,18,401,105.47391348506451,220.6561153959818,190.762648516014
59,2024-12-31,89,41,9,388,124.38073283004454,146.09403967563372,98.57709027696085
60,2025-01-31,78,53,10,451,93.78057496122145,162.47243696337313,94.22988673924812
61,2025-02-28,116,77,15,445,141.3490221743377,239.22748859135288,143.25060309910413
62,2025-03-31,116,90,33,514,122.37415343887213,242.08047193096374,272.8450202996555
63,2025-04-30,111,98,47,516,116.64553178129863,262.5770355750755,387.09126147516315
64,2025-05-31,128,89,40,515,134.77134755691787,238.92585262036394,330.0790595681623
65,2025-06-30,114,89,18,432,143.09219138937084,284.83058819325794,177.07366216417037
66,2025-07-31,99,54,31,456,117.72404665552116,163.7228454901518,288.9096593204886
67,2025-08-31,42,24,15,207,110.02054074789154,160.2954751336752,307.95419506812243
