date,total_articles,fiscal_articles,tariff_fiscal_articles,non_tariff_fiscal_articles,rate,tariff_rate,non_tariff_rate,fiscal_policy_index,tariff_fiscal_index,non_tariff_fiscal_index
2022-08-16,22,7,3,4,0.3181818181818182,0.13636363636363635,0.18181818181818182,97.36997502377722,65.44971688670712,153.5271136453416
2022-08-17,24,8,4,4,0.3333333333333333,0.16666666666666666,0.16666666666666666,102.00664050109995,79.99409841708648,140.73318750822978
2022-08-18,27,7,4,3,0.25925925925925924,0.14814814814814814,0.1111111111111111,79.33849816752219,71.10586525963242,93.8221250054865
2022-08-19,16,3,2,1,0.1875,0.125,0.0625,57.37873528186872,59.99557381281486,52.774945315586166
2022-08-20,17,4,3,1,0.23529411764705882,0.17647058823529413,0.058823529411764705,72.00468741254114,84.69963361809157,49.67053676761051
2022-08-22,22,6,5,1,0.2727272727272727,0.22727272727272727,0.045454545454545456,83.45997859180905,109.0828614778452,38.3817784113354
2022-08-23,25,5,2,3,0.2,0.08,0.12,61.203984300659975,38.39716724020151,101.32789500592543
2022-08-24,25,9,4,5,0.36,0.16,0.2,110.16717174118796,76.79433448040302,168.87982500987573
2022-08-25,18,4,1,3,0.2222222222222222,0.05555555555555555,0.16666666666666666,68.0044270007333,26.66469947236216,140.73318750822978
2022-08-26,29,10,3,7,0.3448275862068966,0.10344827586206896,0.2413793103448276,105.52411086320686,49.65150936232954,203.8204784601948
2022-08-27,26,9,6,3,0.34615384615384615,0.23076923076923078,0.11538461538461539,105.92997282806533,110.76105934673515,97.4306682749283
2022-08-29,24,6,5,1,0.25,0.20833333333333334,0.041666666666666664,76.50498037582496,99.99262302135811,35.183296877057444
2022-08-30,20,4,3,1,0.2,0.15,0.05,61.203984300659975,71.99468857537784,42.21995625246893
2022-08-31,24,3,2,1,0.125,0.08333333333333333,0.041666666666666664,38.25249018791248,39.99704920854324,35.183296877057444
2022-09-01,23,6,3,3,0.2608695652173913,0.13043478260869565,0.13043478260869565,79.83128387042605,62.604077022067685,110.1390163107885
2022-09-02,20,3,2,1,0.15,0.1,0.05,45.90298822549498,47.99645905025189,42.21995625246893
2022-09-03,27,6,3,3,0.2222222222222222,0.1111111111111111,0.1111111111111111,68.0044270007333,53.32939894472432,93.8221250054865
2022-09-06,20,9,4,5,0.45,0.2,0.25,137.70896467648495,95.99291810050379,211.09978126234466
2022-09-07,18,3,2,1,0.16666666666666666,0.1111111111111111,0.05555555555555555,51.003320250549976,53.32939894472432,46.91106250274325
2022-09-08,23,8,5,3,0.34782608695652173,0.21739130434782608,0.13043478260869565,106.44171182723474,104.3401283701128,110.1390163107885
2022-09-09,18,7,3,4,0.3888888888888889,0.16666666666666666,0.2222222222222222,119.00774725128329,79.99409841708648,187.644250010973
2022-09-10,17,6,2,4,0.35294117647058826,0.11764705882352941,0.23529411764705882,108.00703111881171,56.46642241206104,198.68214707044203
2022-09-12,20,5,3,2,0.25,0.15,0.1,76.50498037582496,71.99468857537784,84.43991250493787
2022-09-13,19,3,1,2,0.15789473684210525,0.05263157894736842,0.10526315789473684,48.31893497420524,25.26129423697468,88.88411842625037
2022-09-14,20,3,3,0,0.15,0.15,0.0,45.90298822549498,71.99468857537784,0.0
2022-09-15,27,6,1,5,0.2222222222222222,0.037037037037037035,0.18518518518518517,68.0044270007333,17.776466314908106,156.3702083424775
2022-09-16,23,8,6,2,0.34782608695652173,0.2608695652173913,0.08695652173913043,106.44171182723474,125.20815404413537,73.426010873859
2022-09-17,18,6,4,2,0.3333333333333333,0.2222222222222222,0.1111111111111111,102.00664050109995,106.65879788944864,93.8221250054865
2022-09-19,16,6,5,1,0.375,0.3125,0.0625,114.75747056373744,149.98893453203718,52.774945315586166
2022-09-20,23,7,4,3,0.30434782608695654,0.17391304347826086,0.13043478260869565,93.1364978488304,83.47210269609025,110.1390163107885
2022-09-21,24,4,3,1,0.16666666666666666,0.125,0.041666666666666664,51.003320250549976,59.99557381281486,35.183296877057444
2022-09-22,21,7,3,4,0.3333333333333333,0.14285714285714285,0.19047619047619047,102.00664050109995,68.56637007178841,160.83792858083402
2022-09-23,20,4,1,3,0.2,0.05,0.15,61.203984300659975,23.998229525125947,126.65986875740678
2022-09-24,18,7,5,2,0.3888888888888889,0.2777777777777778,0.1111111111111111,119.00774725128329,133.3234973618108,93.8221250054865
2022-09-26,15,6,2,4,0.4,0.13333333333333333,0.26666666666666666,122.40796860131995,63.995278733669196,225.17310001316764
2022-09-27,18,4,0,4,0.2222222222222222,0.0,0.2222222222222222,68.0044270007333,0.0,187.644250010973
2022-09-28,24,9,1,8,0.375,0.041666666666666664,0.3333333333333333,114.75747056373744,19.99852460427162,281.46637501645955
2022-09-29,17,3,1,2,0.17647058823529413,0.058823529411764705,0.11764705882352941,54.003515559405855,28.23321120603052,99.34107353522101
2022-09-30,22,5,3,2,0.22727272727272727,0.13636363636363635,0.09090909090909091,69.54998215984088,65.44971688670712,76.7635568226708
2022-10-01,20,7,3,4,0.35,0.15,0.2,107.10697252615495,71.99468857537784,168.87982500987573
2022-10-03,16,5,4,1,0.3125,0.25,0.0625,95.63122546978121,119.99114762562972,52.774945315586166
2022-10-04,20,6,4,2,0.3,0.2,0.1,91.80597645098996,95.99291810050379,84.43991250493787
2022-10-05,21,7,2,5,0.3333333333333333,0.09523809523809523,0.23809523809523808,102.00664050109995,45.71091338119228,201.04741072604253
2022-10-06,24,6,6,0,0.25,0.25,0.0,76.50498037582496,119.99114762562972,0.0
2022-10-07,23,7,4,3,0.30434782608695654,0.17391304347826086,0.13043478260869565,93.1364978488304,83.47210269609025,110.1390163107885
2022-10-08,15,6,5,1,0.4,0.3333333333333333,0.06666666666666667,122.40796860131995,159.98819683417295,56.29327500329191
2022-10-10,16,7,5,2,0.4375,0.3125,0.125,133.88371565769367,149.98893453203718,105.54989063117233
2022-10-11,15,9,3,6,0.6,0.2,0.4,183.61195290197992,95.99291810050379,337.75965001975146
2022-10-12,17,6,3,3,0.35294117647058826,0.17647058823529413,0.17647058823529413,108.00703111881171,84.69963361809157,149.0116103028315
2022-10-13,27,10,8,2,0.37037037037037035,0.2962962962962963,0.07407407407407407,113.34071166788884,142.21173051926485,62.548083336991
2022-10-14,22,7,3,4,0.3181818181818182,0.13636363636363635,0.18181818181818182,97.36997502377722,65.44971688670712,153.5271136453416
2022-10-15,21,9,5,4,0.42857142857142855,0.23809523809523808,0.19047619047619047,131.15139492998566,114.2772834529807,160.83792858083402
2022-10-17,18,6,4,2,0.3333333333333333,0.2222222222222222,0.1111111111111111,102.00664050109995,106.65879788944864,93.8221250054865
2022-10-18,18,5,1,4,0.2777777777777778,0.05555555555555555,0.2222222222222222,85.00553375091663,26.66469947236216,187.644250010973
2022-10-19,17,6,3,3,0.35294117647058826,0.17647058823529413,0.17647058823529413,108.00703111881171,84.69963361809157,149.0116103028315
2022-10-20,17,4,1,3,0.23529411764705882,0.058823529411764705,0.17647058823529413,72.00468741254114,28.23321120603052,149.0116103028315
2022-10-21,24,8,2,6,0.3333333333333333,0.08333333333333333,0.25,102.00664050109995,39.99704920854324,211.09978126234466
2022-10-22,18,7,3,4,0.3888888888888889,0.16666666666666666,0.2222222222222222,119.00774725128329,79.99409841708648,187.644250010973
2022-10-24,18,7,3,4,0.3888888888888889,0.16666666666666666,0.2222222222222222,119.00774725128329,79.99409841708648,187.644250010973
2022-10-25,22,6,6,0,0.2727272727272727,0.2727272727272727,0.0,83.45997859180905,130.89943377341424,0.0
2022-10-26,22,7,5,2,0.3181818181818182,0.22727272727272727,0.09090909090909091,97.36997502377722,109.0828614778452,76.7635568226708
2022-10-27,24,6,4,2,0.25,0.16666666666666666,0.08333333333333333,76.50498037582496,79.99409841708648,70.36659375411489
2022-10-28,22,4,2,2,0.18181818181818182,0.09090909090909091,0.09090909090909091,55.6399857278727,43.633144591138084,76.7635568226708
2022-10-29,25,9,4,5,0.36,0.16,0.2,110.16717174118796,76.79433448040302,168.87982500987573
2022-10-31,17,6,4,2,0.35294117647058826,0.23529411764705882,0.11764705882352941,108.00703111881171,112.93284482412209,99.34107353522101
2022-11-01,16,5,1,4,0.3125,0.0625,0.25,95.63122546978121,29.99778690640743,211.09978126234466
2022-11-02,22,8,2,6,0.36363636363636365,0.09090909090909091,0.2727272727272727,111.2799714557454,43.633144591138084,230.29067046801234
2022-11-03,20,2,1,1,0.1,0.05,0.05,30.601992150329988,23.998229525125947,42.21995625246893
2022-11-04,24,5,3,2,0.20833333333333334,0.125,0.08333333333333333,63.75415031318747,59.99557381281486,70.36659375411489
2022-11-05,31,4,1,3,0.12903225806451613,0.03225806451612903,0.0967741935483871,39.486441484296755,15.482728725887707,81.71604435961729
2022-11-07,18,6,2,4,0.3333333333333333,0.1111111111111111,0.2222222222222222,102.00664050109995,53.32939894472432,187.644250010973
2022-11-08,21,4,2,2,0.19047619047619047,0.09523809523809523,0.09523809523809523,58.2895088577714,45.71091338119228,80.41896429041701
2022-11-09,24,4,4,0,0.16666666666666666,0.16666666666666666,0.0,51.003320250549976,79.99409841708648,0.0
2022-11-10,19,6,5,1,0.3157894736842105,0.2631578947368421,0.05263157894736842,96.63786994841048,126.30647118487339,44.442059213125184
2022-11-11,30,6,4,2,0.2,0.13333333333333333,0.06666666666666667,61.203984300659975,63.995278733669196,56.29327500329191
2022-11-12,15,3,2,1,0.2,0.13333333333333333,0.06666666666666667,61.203984300659975,63.995278733669196,56.29327500329191
2022-11-14,22,8,7,1,0.36363636363636365,0.3181818181818182,0.045454545454545456,111.2799714557454,152.7160060689833,38.3817784113354
2022-11-15,28,4,3,1,0.14285714285714285,0.10714285714285714,0.03571428571428571,43.71713164332855,51.4247775538413,30.15711160890638
2022-11-16,20,11,8,3,0.55,0.4,0.15,168.31095682681493,191.98583620100757,126.65986875740678
2022-11-17,24,9,6,3,0.375,0.25,0.125,114.75747056373744,119.99114762562972,105.54989063117233
2022-11-18,25,5,4,1,0.2,0.16,0.04,61.203984300659975,76.79433448040302,33.775965001975145
2022-11-19,26,5,5,0,0.19230769230769232,0.19230769230769232,0.0,58.84998490448075,92.30088278894596,0.0
2022-11-21,22,4,4,0,0.18181818181818182,0.18181818181818182,0.0,55.6399857278727,87.26628918227617,0.0
2022-11-22,17,8,6,2,0.47058823529411764,0.35294117647058826,0.11764705882352941,144.0093748250823,169.39926723618314,99.34107353522101
2022-11-23,17,5,3,2,0.29411764705882354,0.17647058823529413,0.11764705882352941,90.00585926567643,84.69963361809157,99.34107353522101
2022-11-25,17,2,1,1,0.11764705882352941,0.058823529411764705,0.058823529411764705,36.00234370627057,28.23321120603052,49.67053676761051
2022-11-26,12,5,3,2,0.4166666666666667,0.25,0.16666666666666666,127.50830062637495,119.99114762562972,140.73318750822978
2022-11-28,21,6,2,4,0.2857142857142857,0.09523809523809523,0.19047619047619047,87.4342632866571,45.71091338119228,160.83792858083402
2022-11-29,22,4,3,1,0.18181818181818182,0.13636363636363635,0.045454545454545456,55.6399857278727,65.44971688670712,38.3817784113354
2022-11-30,25,10,5,5,0.4,0.2,0.2,122.40796860131995,95.99291810050379,168.87982500987573
2022-12-01,19,7,6,1,0.3684210526315789,0.3157894736842105,0.05263157894736842,112.7441816064789,151.56776542184807,44.442059213125184
2022-12-02,24,6,5,1,0.25,0.20833333333333334,0.041666666666666664,76.50498037582496,99.99262302135811,35.183296877057444
2022-12-03,24,7,5,2,0.2916666666666667,0.20833333333333334,0.08333333333333333,89.25581043846248,99.99262302135811,70.36659375411489
2022-12-05,18,5,4,1,0.2777777777777778,0.2222222222222222,0.05555555555555555,85.00553375091663,106.65879788944864,46.91106250274325
2022-12-06,30,10,7,3,0.3333333333333333,0.23333333333333334,0.1,102.00664050109995,111.99173778392108,84.43991250493787
2022-12-07,25,7,5,2,0.28,0.2,0.08,85.68557802092397,95.99291810050379,67.55193000395029
2022-12-08,18,4,2,2,0.2222222222222222,0.1111111111111111,0.1111111111111111,68.0044270007333,53.32939894472432,93.8221250054865
2022-12-09,25,6,2,4,0.24,0.08,0.16,73.44478116079196,38.39716724020151,135.10386000790058
2022-12-10,18,3,2,1,0.16666666666666666,0.1111111111111111,0.05555555555555555,51.003320250549976,53.32939894472432,46.91106250274325
2022-12-12,17,3,2,1,0.17647058823529413,0.11764705882352941,0.058823529411764705,54.003515559405855,56.46642241206104,49.67053676761051
2022-12-13,21,8,4,4,0.38095238095238093,0.19047619047619047,0.19047619047619047,116.5790177155428,91.42182676238455,160.83792858083402
2022-12-14,22,6,2,4,0.2727272727272727,0.09090909090909091,0.18181818181818182,83.45997859180905,43.633144591138084,153.5271136453416
2022-12-15,26,7,4,3,0.2692307692307692,0.15384615384615385,0.11538461538461539,82.38997886627304,73.84070623115676,97.4306682749283
2022-12-16,21,6,4,2,0.2857142857142857,0.19047619047619047,0.09523809523809523,87.4342632866571,91.42182676238455,80.41896429041701
2022-12-17,22,5,2,3,0.22727272727272727,0.09090909090909091,0.13636363636363635,69.54998215984088,43.633144591138084,115.14533523400617
2022-12-19,16,6,2,4,0.375,0.125,0.25,114.75747056373744,59.99557381281486,211.09978126234466
2022-12-20,19,6,3,3,0.3157894736842105,0.15789473684210525,0.15789473684210525,96.63786994841048,75.78388271092403,133.32617763937554
